# PyRadio Playlist File - Format:,,,,,,,,,
# name,url,encoding,icon,profile,buffering,force-http,volume,referer,player
宁德综合广播,http://ytcastmp3.radio.cn/62/stream_21513.mp3?type=1&key=56cb599774f428cd6a561890ba268882&time=68f9d0e7
泉州1059刺桐之声,http://ytcastmp3.radio.cn/69/stream_21892.mp3?type=1&key=8d308d2fe07865abad9c72554427107b&time=68f9d0e7
泉州923经济生活广播,http://ytcastmp3.radio.cn/69/stream_22290.mp3?type=1&key=f7d19586e28570529cf85fe3d95e2849&time=68f9d0e7
泉州904交通广播,http://ytcastmp3.radio.cn/69/stream_21205.mp3?type=1&key=2e196cfbe986bfa643015a8573cd8029&time=68f9d0e7
泉州889新闻综合广播,http://ytcastmp3.radio.cn/69/stream_20959.mp3?type=1&key=58ede2572cab601fc30e350378766b62&time=68f9d0e7
三明新闻综合广播,http://ytcastmp3.radio.cn/69/stream_20968.mp3?type=1&key=f9fa0c6b2b50681a740ae286cda63ead&time=68f9d0e7
漳州交通广播,http://ytcastmp3.radio.cn/64/stream_21484.mp3?type=1&key=434d21629a4a90713f8306f31784b7f2&time=68f9d0e7
漳州综合广播,http://ytcastmp3.radio.cn/64/stream_21483.mp3?type=1&key=8bc38746e34e0bb7871f9f55c1824773&time=68f9d0e7
中国交通广播（甘肃）,http://ytcastmp3.radio.cn/72/stream_20751.mp3?type=1&key=bce39e63f22a4863e5fc8dd55e42824e&time=68f9d0f9
甘肃交通广播,http://ytcastmp3.radio.cn/63/stream_20483.mp3?type=1&key=a76c6f332fb9df9ddaf8d97008176491&time=68f9d0f9
甘肃农村广播,http://ytcastmp3.radio.cn/63/stream_20486.mp3?type=1&key=2ddbd60299805a8cbbc4c29442e33425&time=68f9d0f9
甘肃新闻综合广播,http://ytcastmp3.radio.cn/63/stream_20482.mp3?type=1&key=fdc04f262d23f8c44972fedac86e8bb4&time=68f9d0f9
兰州交通音乐广播,http://ytcastmp3.radio.cn/87/stream_21143.mp3?type=1&key=7954c97a94127adc28f163270952e110&time=68f9d0f9
兰州新闻综合广播,http://ytcastmp3.radio.cn/87/stream_21144.mp3?type=1&key=ab6bf3bf7e802d3b3f6e4f06a6bd4536&time=68f9d0f9
兰州生活文艺广播,http://ytcastmp3.radio.cn/87/stream_21141.mp3?type=1&key=86ea4580e73845d5889ab3199753bbc1&time=68f9d0f9
白银人民广播电台新闻综合广播,http://ytcastmp3.radio.cn/69/stream_21139.mp3?type=1&key=da445d7df67dd017cff3478a5c2d8548&time=68f9d0f9
